epoch,train_loss,train_acc,val_loss,val_acc,lr,time(s)
1,0.568329,79.2250,0.215446,92.7723,9.972637e-04,53.25
2,0.141666,95.7000,0.102803,97.3267,9.890847e-04,53.40
3,0.092962,97.2500,0.040431,99.1089,9.755527e-04,53.57
4,0.087001,97.3500,0.040691,98.7129,9.568160e-04,53.87
5,0.056885,98.5250,0.031083,99.1089,9.330797e-04,53.93
6,0.094843,97.5750,0.076477,98.2178,9.046040e-04,53.16
7,0.083614,97.5500,0.041426,98.8119,8.717008e-04,53.18
8,0.061132,98.4500,0.018502,99.6040,8.347307e-04,53.51
9,0.038357,98.8500,0.023491,99.1089,7.940987e-04,53.44
10,0.028945,99.0250,0.049373,98.4158,7.502500e-04,52.92
11,0.027536,99.2750,0.042031,98.9109,7.036650e-04,53.69
12,0.016590,99.5250,0.020013,99.6040,6.548540e-04,53.14
13,0.008285,99.6750,0.011782,99.7030,6.043519e-04,53.16
14,0.018865,99.4500,0.001053,100.0000,5.527120e-04,53.27
15,0.022137,99.3750,0.036747,98.8119,5.005000e-04,53.47
16,0.012143,99.5500,0.002903,99.9010,4.482880e-04,52.89
17,0.004409,99.8250,0.012944,99.7030,3.966481e-04,53.19
18,0.004814,99.8250,0.003439,99.9010,3.461460e-04,53.18
19,0.003498,99.8750,0.004464,99.9010,2.973350e-04,52.98
20,0.003062,99.9000,0.000826,100.0000,2.507500e-04,52.95
21,0.007336,99.7500,0.001859,99.9010,2.069013e-04,53.63
22,0.002491,99.9000,0.004048,99.8020,1.662693e-04,52.97
23,0.003860,99.9250,0.001729,99.9010,1.292992e-04,53.18
24,0.000323,100.0000,0.002343,99.9010,9.639601e-05,53.03
25,0.001613,99.9500,0.003871,99.8020,6.792031e-05,53.03
26,0.000194,100.0000,0.001524,99.9010,4.418404e-05,52.88
27,0.000528,100.0000,0.002431,99.9010,2.544727e-05,53.52
28,0.003193,99.9000,0.002122,99.9010,1.191527e-05,53.05
29,0.000143,100.0000,0.001828,99.9010,3.736313e-06,53.19
30,0.000840,99.9500,0.002009,99.9010,1.000000e-06,53.19
